City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
184,Bowen,AU,-20.0167,148.2333,305.27,70,27,4.63,scattered clouds
185,Pevek,RU,69.7008,170.3133,246.82,94,83,0.36,broken clouds
186,Nishihara,JP,26.1842,127.7558,292.96,56,75,4.12,broken clouds
187,Flin Flon,CA,54.7682,-101.865,255.93,92,100,7.58,light snow
188,Veraval,IN,20.9,70.3667,297.35,56,0,3.59,clear sky
189,Bloomfield,US,40.8068,-74.1854,270.19,71,0,0.0,clear sky
190,Cidreira,BR,-30.1811,-50.2056,295.52,87,1,3.12,clear sky
191,Nikolskoye,RU,59.7035,30.7861,269.09,97,99,1.78,snow
192,Yellowknife,CA,62.456,-114.3525,248.38,83,20,3.6,few clouds
193,San Francisco,US,37.7749,-122.4194,285.4,85,40,0.89,scattered clouds
194,Krasnoyarskiy,RU,51.965,59.8967,263.23,100,92,3.19,overcast clouds
195,Sechura,PE,-5.5569,-80.8222,295.88,68,100,3.56,overcast clouds
196,Port Elizabeth,ZA,-33.918,25.5701,295.43,100,20,2.06,mist
197,Kermanshah,IR,34.3142,47.065,273.65,73,40,0.0,light intensity drizzle
198,Kruisfontein,ZA,-34.0033,24.7314,294.2,83,99,1.57,overcast clouds
199,Katsuura,JP,35.1333,140.3,282.17,55,92,1.28,overcast clouds
200,Saskylakh,RU,71.9167,114.0833,239.4,100,72,0.9,broken clouds
201,Hami,CN,42.8,93.45,269.57,30,42,0.63,scattered clouds
202,Georgetown,MY,5.4112,100.3354,306.11,70,20,1.34,few clouds
203,Marsh Harbour,BS,26.5412,-77.0636,291.54,55,1,6.12,clear sky
204,Viedma,AR,-40.8135,-62.9967,295.1,23,3,8.52,clear sky
205,Huarmey,PE,-10.0681,-78.1522,294.58,85,39,2.31,scattered clouds
206,Devarkonda,IN,16.7,78.9333,299.23,44,16,2.49,few clouds
207,Laguna,US,38.421,-121.4238,285.43,79,0,3.09,clear sky
208,Cochrane,CA,51.1834,-114.4687,261.04,69,100,3.6,overcast clouds
209,Norden,DE,53.6,7.2,278.13,83,97,9.2,overcast clouds
210,Chicama,PE,-7.8447,-79.1469,290.45,75,65,1.58,broken clouds
211,Amuntai,ID,-2.4177,115.2494,307.72,44,92,1.54,overcast clouds
212,Hutchinson,US,38.0608,-97.9298,286.12,50,0,0.89,clear sky
213,Srednekolymsk,RU,67.45,153.6833,245.92,95,100,0.96,overcast clouds
214,Kilindoni,TZ,-7.9139,39.6668,300.05,77,79,2.32,broken clouds
215,Emirdag,TR,39.0197,31.15,267.08,91,100,2.12,overcast clouds
216,Payson,US,40.0444,-111.7321,275.05,57,0,10.8,clear sky
217,Riberalta,BO,-10.9833,-66.1,295.34,96,100,0.92,overcast clouds
218,Leku,ET,6.8667,38.45,290.28,41,21,1.37,few clouds
219,Sibolga,ID,1.7427,98.7792,301.09,78,47,1.7,moderate rain
220,Bubanza,BI,-3.1167,29.4,292.33,95,100,0.46,light rain
221,Beyneu,KZ,45.3167,55.2,274.33,79,55,5.96,broken clouds
222,Paraiso,CR,9.8383,-83.8656,290.63,97,93,1.44,overcast clouds
223,Sovetskaya Gavan,RU,48.9723,140.2878,264.88,65,85,4.82,overcast clouds
224,Luoyang,CN,34.6836,112.4536,277.59,36,3,1.31,clear sky
225,Kavaratti,IN,10.5669,72.642,300.21,69,6,2.56,clear sky
226,Tokyo,JP,35.6895,139.6917,284.1,35,20,1.34,few clouds
227,Lompoc,US,34.6391,-120.4579,287.82,89,40,0.0,scattered clouds
228,Beloha,MG,-25.1667,45.05,299.09,55,84,5.09,broken clouds
229,Nicolet,CA,46.2168,-72.6158,256.78,79,0,1.54,clear sky
230,Kaitangata,NZ,-46.2817,169.8464,294.22,85,100,3.46,overcast clouds
231,Russell,US,32.3502,-85.1999,282.72,80,0,2.06,clear sky
232,Tiarei,PF,-17.5333,-149.3333,301.16,78,12,9.69,few clouds
233,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,271.48,64,0,6.0,light snow
234,Ialibu,PG,-6.2821,143.9935,288.28,96,100,1.61,moderate rain
235,Yerbogachen,RU,61.2767,108.0108,251.6,94,89,1.69,overcast clouds
236,Taltal,CL,-25.4,-70.4833,290.9,83,10,1.0,clear sky
237,Havelock,US,34.8791,-76.9013,277.56,85,10,2.82,clear sky
238,Geraldton,AU,-28.7667,114.6,308.38,24,7,5.66,clear sky
