City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
203,Marsh Harbour,BS,291.54,clear sky,26.5412,-77.0636,Abaco Beach Resort
204,Viedma,AR,295.1,clear sky,-40.8135,-62.9967,Hotel Cristal
205,Huarmey,PE,294.58,scattered clouds,-10.0681,-78.1522,Hotel Miramar
206,Devarkonda,IN,299.23,few clouds,16.7,78.9333,Home
207,Laguna,US,285.43,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
208,Cochrane,CA,261.04,overcast clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
209,Norden,DE,278.13,overcast clouds,53.6,7.2,Stadthotel Restaurant Smutje
210,Chicama,PE,290.45,broken clouds,-7.8447,-79.1469,Balihai Bungalows
211,Amuntai,ID,307.72,overcast clouds,-2.4177,115.2494,Hotel Balqis
212,Hutchinson,US,286.12,clear sky,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
214,Kilindoni,TZ,300.05,broken clouds,-7.9139,39.6668,Bustani B&B
215,Emirdag,TR,267.08,overcast clouds,39.0197,31.15,Emirdağ Öğretmenevi
216,Payson,US,275.05,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
217,Riberalta,BO,295.34,overcast clouds,-10.9833,-66.1,Hotel Colonial
219,Sibolga,ID,301.09,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
220,Bubanza,BI,292.33,light rain,-3.1167,29.4,Maison d'accueil le buissonnet
221,Beyneu,KZ,274.33,broken clouds,45.3167,55.2,NUR
222,Paraiso,CR,290.63,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
223,Sovetskaya Gavan,RU,264.88,overcast clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
224,Luoyang,CN,277.59,clear sky,34.6836,112.4536,易家国际青年旅舍
225,Kavaratti,IN,300.21,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
226,Tokyo,JP,284.1,few clouds,35.6895,139.6917,Hilton Tokyo
227,Lompoc,US,287.82,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
229,Nicolet,CA,256.78,clear sky,46.2168,-72.6158,Montfort Nicolet Hotel
230,Kaitangata,NZ,294.22,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
231,Russell,US,282.72,clear sky,32.3502,-85.1999,Macs
232,Tiarei,PF,301.16,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
233,Petropavlovsk-Kamchatskiy,RU,271.48,light snow,53.0452,158.6483,The Hotel Petropavlovsky
234,Ialibu,PG,288.28,moderate rain,-6.2821,143.9935,Eastwood Guesthouse
236,Taltal,CL,290.9,clear sky,-25.4,-70.4833,Residencial Karime
237,Havelock,US,277.56,clear sky,34.8791,-76.9013,Sherwood Motel
238,Geraldton,AU,308.38,clear sky,-28.7667,114.6,Broadwater Mariner Resort
239,Port Macquarie,AU,303.13,thunderstorm,-31.4333,152.9167,Rydges Port Macquarie
240,Ilulissat,GL,258.16,overcast clouds,69.2167,-51.1,Hotel Arctic
241,Tuatapere,NZ,294.73,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
242,Novyy Urengoy,RU,256.42,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
245,Itarema,BR,298.04,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
246,Hobyo,SO,299.55,light rain,5.3505,48.5268,Halane Hotel and Restaurent
247,Bandarbeyla,SO,298.53,broken clouds,9.4942,50.8122,JABIR HOTEL
248,Maua,BR,294.04,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
249,Spirit River,CA,255.44,overcast clouds,55.7833,-118.8361,Motel 49
250,Norrtalje,SE,268.84,overcast clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
251,Kuah,MY,305.15,few clouds,6.3265,99.8432,Azio Hotel
253,Namanga,KE,291.43,light rain,-2.5433,36.7905,Hillsgate Home
254,Prado,BR,297.76,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
255,Shache,CN,273.87,broken clouds,38.4167,77.2406,Delong Hotel
256,Waingapu,ID,304.83,few clouds,-9.6567,120.2641,Pondok Wisata Elim
257,Astorga,BR,295.37,broken clouds,-23.2325,-51.6656,Rancho Jads
258,Poum,NC,300.29,scattered clouds,-20.2333,164.0167,Gîte kajeon
259,Digby,CA,269.88,overcast clouds,44.6169,-65.7655,Digby Pines Golf Resort and Spa
260,Yulara,AU,296.06,heavy intensity rain,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
261,Iwanai,JP,272.17,overcast clouds,42.9744,140.5089,いわない高原ホテル
262,Williston,US,262.56,overcast clouds,48.147,-103.618,Hampton Inn & Suites Williston
263,Udomlya,RU,268.59,overcast clouds,57.8794,34.9925,Rus'
264,Nabire,ID,302.24,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
265,Atar,MR,298.1,overcast clouds,20.5169,-13.0499,Oumou Elghoura
266,Beringovskiy,RU,260.34,snow,63.05,179.3167,Beringgorski
